id,sentence,num_aspect_terms,aspect_term,at_polarity,intensty_class
32895093#418997#3,Try the Peanut Butter Sorbet and the pizza with soy cheese!,2,"['Peanut Butter Sorbet', 'pizza with soy cheese']","['positive', 'positive']","[1, 1]"
32406302#615620#2,"Good food at the right price, what more can you ask for.",2,"['food', 'price']","['positive', 'positive']","[1, 1]"
35390182#756337#1,"We love it, and took buses and cabs to get there.",0,[],[],
11302356#1455624#2,"If you' re in New York, you do not want to miss this place.",0,[],[],
11302356#1455624#1,"The food is top notch, the service is attentive, and the atmosphere is great.",3,"['food', 'service', 'atmosphere']","['positive', 'positive', 'positive']","[3, 1, 2]"
11302356#1455624#0,"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me.",0,[],[],
11302355#533813#0,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",4,"['food', 'waitstaff', 'atmosphere', 'beer']","['positive', 'positive', 'positive', 'positive']","[2, 2, 2, 3]"
35698351#821341#0,this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,3,"['food', 'kimono shrimp special', 'atmosphere']","['positive', 'positive', 'positive']","[2, 3, 2]"
11351664#1238806#0,"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!",0,[],[],
33070305#1312437#6,The whole experience was satisfying.,0,[],[],
33070305#1312437#1,"However, it was worth the visit.",0,[],[],
33070305#1312437#2,The menu is interesting and quite reasonably priced.,2,"['menu', 'priced']","['positive', 'positive']","[1, 1]"
33070305#1312437#3,The food was delicious and clearly fresh ingredients were used.,2,"['food', 'ingredients']","['positive', 'positive']","[2, 2]"
11610073#973003#3,This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.,1,['food'],['negative'],[-2]
11464789#378665#0,Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,2,"['Appetizer', 'meal']","['positive', 'positive']","[3, 2]"
11464789#378665#1,The spicy mussels are a highlight.,1,['spicy mussels'],['positive'],[1]
32899282#556036#2,Also get the Onion Rings -- best we've ever had.,1,['Onion Rings'],['positive'],[3]
11351587#1488758#8,Would not return for the amount we paid.,0,[],[],
11351587#1488758#2,"However, being foodies, we were utterly disappointed with the food.",1,['food'],['negative'],[-3]
11359656#1716239#1,"Huge portions, great and attentive service, and pretty good prices.",3,"['portions', 'service', 'prices']","['positive', 'positive', 'positive']","[1, 2, 1]"
11359797#469087#7,I was highly disappointed by their service and food.,2,"['service', 'food']","['negative', 'negative']","[-3, -3]"
11359797#469087#6,"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",2,"['waiter', 'manager']","['negative', 'negative']","[-3, -3]"
32938828#1194079#1,The food is great and the milkshakes are even better!,2,"['food', 'milkshakes']","['positive', 'positive']","[2, 2]"
11349445#757796#5,Stay away if you're claustrophobic,0,[],[],
11349445#757796#0,"If you're in the 'hood, definitely stop in.",0,[],[],
11349445#757796#1,the mushroom barley soup is amazing.,1,['mushroom barley soup'],['positive'],[1]
11602699#875811#0,"On the recommendation of a friend, I checked out Arezzo with my wife.",0,[],[],
11602699#875811#1,"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",2,"['food', 'staff']","['positive', 'positive']","[2, 3]"
11313316#1234433#2,Their duck here is also absolutely delicious.,1,['duck'],['positive'],[2]
11313316#1234433#0,This is definitely one of the places that I have continued to come back to over the years.,0,[],[],
11351762#644011#1,"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",2,"['drinks', 'food']","['positive', 'positive']","[3, 3]"
35719198#0#5,One caveat: Some of the curried casseroles can be a trifle harsh.,1,['curried casseroles'],['negative'],[-1]
35158451#1089920#3,I wasn't impressed and it wasn't SPICEY????,0,[],[],
33070461#1496736#1,The food was almost always EXCELLENT.,1,['food'],['positive'],[3]
32882616#562969#4,I was pleasently surprised at the taste.,1,['taste'],['positive'],[2]
32882616#562969#3,I never had an orange donut before so I gave it a shot.,1,['orange donut'],['neutral'],[0]
35171678#484493#3,"they really provide a relaxing, laid-back atmosphere.",1,['atmosphere'],['positive'],[2]
32945645#1528063#2,This particular location certainly uses substandard meats.,1,['meats'],['negative'],[-2]
32895093#418997#0,I stumbled upon this resteraunt on my way home from the subway.,0,[],[],
11546184#1465600#4,The Management was less than accommodating.,1,['Management'],['negative'],[-1]
13383936#420974#2,The ambience is also more laid-back and relaxed.,1,['ambience'],['positive'],[2]
35692932#1064131#3,the teas are great and all the sweets are homemade.,2,"['teas', 'sweets']","['positive', 'positive']","[2, 1]"
11488685#420977#1,mojitos and the service are the best part in there,2,"['mojitos', 'service']","['positive', 'positive']","[3, 3]"
35397104#0#3,"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",4,"['Sandwiches', 'burgers', 'salads', 'lemon-dressed cobb']","['positive', 'positive', 'positive', 'positive']","[1, 1, 1, 1]"
35820984#608922#0,this restaurant is absolutely beautiful.,0,[],[],
35820984#608922#1,The design is very intimate and romantic.,1,['design'],['positive'],[2]
35820984#608922#2,The food was wonderful and imaginative.,1,['food'],['positive'],[3]
35820984#608922#3,The staff is very sharp and they look good too.,1,['staff'],['positive'],[3]
36245348#821441#2,The worst though was the taste.,1,['taste'],['negative'],[-3]
36245348#821441#3,"They were dry, stale and pretty flavorless.",0,[],[],
11432442#650772#5,The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,2,"['fajita', 'mole sauce']","['negative', 'negative']","[-2, -1]"
11432442#650772#6,Stay with the roasted chickens and you'll be fine.,1,['roasted chickens'],['positive'],[2]
32944693#1193404#4,"The atmosphere is warm, comfortable, artsy and sexy.",1,['atmosphere'],['positive'],[3]
32944693#1193404#1,"The food is great (big selection, reasonable prices) and the drinks are really good.",4,"['food', 'selection', 'prices', 'drinks']","['positive', 'positive', 'positive', 'positive']","[2, 1, 1, 1]"
35693214#539116#1,The steak melted in my mouth.,1,['steak'],['positive'],[1]
32950007#1320096#3,"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",2,"['waiters', 'food']","['positive', 'neutral']","[3, 0]"
35938288#666236#2,"Most importantly, it is reasonably priced.",1,['priced'],['positive'],[1]
11350660#564640#1,"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",2,"['selection of food', 'atmosphere']","['positive', 'positive']","[3, 2]"
35393632#1591698#7,"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",2,"['dessert', 'taste']","['negative', 'negative']","[-2, -1]"
15087705#871249#1,"Food was decent, but not great.",1,['Food'],['positive'],[1]
11349871#518230#0,I have no idea why this restaurant is so often overlooked.,0,[],[],
11349871#518230#1,"From the moment you walk in, you feel like you're in the perfect place.",0,[],[],
11651062#1264882#1,i dont know what some people who rave about this hot dog are talking about.,1,['hot dog'],['negative'],[-1]
11359619#487952#3,it is a hidden delight complete with a quaint bar and good food.,2,"['bar', 'food']","['positive', 'positive']","[2, 1]"
32893510#483382#2,"I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far.",0,[],[],
11351628#404492#6,The waiters ALWAYS look angry and even ignore their high-tipping regulars.,1,['waiters'],['negative'],[-3]
35709141#1107179#0,"the atmosphere is very nice, and a welcome escape from the rest of the SI mall.",1,['atmosphere'],['positive'],[2]
32935211#1468239#1,"Yes, they're a bit more expensive then typical, but then again, so is their food.",1,['food'],['positive'],[2]
11351725#582163#11,"Not terrible, but not the restaurant in the reviews of 2002.",0,[],[],
33069901#1437116#3,"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",4,"['wraps', 'burgers', 'salads', 'mango margareta']","['positive', 'positive', 'positive', 'positive']","[1, 1, 1, 1, 1]"
33069901#1437116#4,It was delicious and large!,0,[],[],
35709337#1579632#6,"Anywhere else, the prices would be 3x as high!",1,['prices'],['positive'],[2]
33069901#1437116#1,The service we experienced was friendly and good.,1,['service'],['positive'],[2]
11351725#582163#9,Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,2,"['waiter', 'staff']","['positive', 'negative']","[1, -2]"
11351725#582163#7,The folding chair I was seated at was uncomfortable.,1,['folding chair'],['negative'],[-1]
11351725#582163#5,As we waited I watched 3 separate groups of diners discuss how disappointed they also were.,0,[],[],
11432842#416795#5,An excellent choice in midtown.,0,[],[],
11432842#416795#1,Service was among the best I have ever had in NYC.,1,['Service'],['positive'],[3]
11432842#416795#2,The fettucino alfredo was amazing.,1,['fettucino alfredo'],['positive'],[1]
33067279#1612676#1,The food was very good and I was pleasantly surprised to see so many vegan options.,2,"['food', 'vegan options']","['positive', 'positive']","[2, 2]"
32930165#1643018#3,I know real Indian food and this wasn't it.,1,['Indian food'],['negative'],[-2]
11359727#487554#5,"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",5,"['Smoked Trout', 'Lamb Chops', 'Veal Chops', 'Rabbit', 'potato gratin']","['positive', 'positive', 'positive', 'positive', 'positive']","[1, 1, 1, 1, 1]"
11359727#487554#2,"Even when the chef is not in the house, the food and service are right on target.",3,"['chef', 'food', 'service']","['neutral', 'positive', 'positive']","[0, 1, 1]"
32893609#708406#2,Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,3,"['eggs benedict', 'mussels', 'hamburger']","['positive', 'positive', 'positive']","[2, 2, 1]"
32926987#668438#1,"The waiters were very professional, courteous and attentive.",1,['waiters'],['positive'],[3]
32926987#668438#0,My boyfriend and I went here last night and LOVED it!,0,[],[],
32935729#785247#5,The falafal was rather over cooked and dried but the chicken was fine.,2,"['falafal', 'chicken']","['negative', 'positive']","[-1, 1]"
32935211#1468239#3,"I highly reccomend the grand marnier shrimp, it's insanely good.",1,['grand marnier shrimp'],['positive'],[3]
32944704#492723#0,"We been there and we really enjoy the food, was a really great food, and the service was really good.",3,"['food', 'food', 'service']","['positive', 'positive', 'positive']","[2, 2, 1]"
33061325#0#3,Desserts include flan and sopaipillas.,3,"['Desserts', 'flan', 'sopaipillas']","['neutral', 'neutral', 'neutral']","[0, 0, 0]"
32894513#498296#0,I was starving and the small portions were driving me crazy!,1,['portions'],['negative'],[-3]
35709141#1107179#4,The wait staff was loud and inconsiderate.,1,['wait staff'],['negative'],[-2]
35709141#1107179#1,"However, the food and service are dramatically lacking.",2,"['food', 'service']","['negative', 'negative']","[-2, -2]"
35709141#1107179#2,The sushi is cut in blocks bigger than my cell phone.,1,['sushi'],['negative'],[-1]
11350496#1560668#3,"The service is great, my soup always arrives nice and hot.",2,"['service', 'soup']","['positive', 'positive']","[2, 2]"
11351625#909535#1,It had been awhile and I forgot just how delicious crepes can be.,1,['crepes'],['positive'],[2]
11351622#0#5,Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,3,"['desserts', 'creme brulee', 'apple tart']","['positive', 'positive', 'positive']","[2, 3, 2]"
35701425#1155856#1,My friend told me about this restaurant for a year before he finally took me this weekend.,0,[],[],
11351620#1180095#0,i had a delicious shrimp creole.,1,['shrimp creole'],['positive'],[2]
11351620#1180095#1,The chicken dinner was real good.,1,['chicken dinner'],['positive'],[1]
32464595#574909#4,Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,1,['chili signed food items'],['negative'],[-3]
32938222#1552119#1,The decor is designed in a contemporary Japanese style restaurant.,1,['decor'],['neutral'],[0]
11351620#1180095#3,but the food was delicious.,1,['food'],['positive'],[2]
32464595#574909#2,"Try the ribs, sizzling beef and couple it with coconut rice.",3,"['coconut rice', 'ribs', 'beef']","['positive', 'positive', 'positive']","[1, 1, 1]"
32893510#483382#3,The only drawback is that it's a little pricey.,0,[],[],
32893510#483382#0,Everything about this place was wonderful.,0,[],[],
32893040#1716582#5,The avocado salad is a personal fave.,1,['avocado salad'],['positive'],[3]
32893040#1716582#6,"And, the honey BBQ rib tips are yummy!",1,['honey BBQ rib tips'],['positive'],[1]
32893040#1716582#0,The BEST Chinese food Uptown!,1,['Chinese food'],['positive'],[3]
35170181#0#2,Service is known for bending over backwards to make everyone happy.,1,['Service'],['positive'],[3]
32464601#418474#2,The staff is very friendly.,1,['staff'],['positive'],[2]
11359618#788741#3,Waiters are very friendly and the pasta is out of this world.,2,"['Waiters', 'pasta']","['positive', 'positive']","[2, 3]"
33068517#482841#2,Great wine list and great cocktail menu.,2,"['wine list', 'cocktail menu']","['positive', 'positive']","[2, 2]"
33068517#482841#1,The crab cakes are delicious and the BBQ rib was perfect.,2,"['crab cakes', 'BBQ rib']","['positive', 'positive']","[2, 1]"
35869867#649564#1,"The food is wonderful, artfully done and simply delicious.",1,['food'],['positive'],[3]
32864873#471207#1,Tiny restaurant with very fast service.,1,['service'],['positive'],[2]
33069536#707145#3,My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.,2,"['service', 'desserts']","['positive', 'positive']","[3, 1]"
32899414#512291#0,"A beautiful atmosphere, perfect for drinks and/or appetizers.",3,"['atmosphere', 'drinks', 'appetizers']","['positive', 'neutral', 'neutral']","[1, 0, 0]"
32469157#1273114#0,Curioni's Pizza has been around since the 1920's.,0,[],[],
32469157#1273114#1,They make the best pizza in New Jersey.,1,['pizza'],['positive'],[3]
36072604#1106889#1,I recently visited over this past summer after being away for a year.,0,[],[],
36072604#1106889#2,"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",3,"['service', 'food', 'beer list']","['positive', 'positive', 'positive']","[2, 1, 3]"
12036269#580745#1,"Frankly, the chinese food here is something I can make better at home.",1,['chinese food'],['negative'],[-2]
12036269#580745#2,There was only one waiter for the whole restaurant upstairs.,1,['waiter'],['neutral'],[0]
35695422#1464305#3,We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,4,"['scallops', 'asparagus', 'soft shell crab', 'cheese plate']","['neutral', 'neutral', 'neutral', 'neutral']","[0, 0, 0, 0]"
36220672#1714981#3,"Not to be overlooked, the service is excellent.",1,['service'],['positive'],[2]
11651062#1264882#2,this without question is one of the worst hotdogs i have ever had.,1,['hotdogs'],['negative'],[-3]
32971013#1044651#2,"The staff is unbelievably friendly, and I dream about their Saag gosht...so good.",2,"['staff', 'Saag gosht']","['positive', 'positive']","[2, 2]"
33064238#563983#2,I also recommend the garlic knots.,1,['garlic knots'],['positive'],[1]
32971013#1044651#0,Best Indian food I have ever eaten.,1,['Indian food'],['positive'],[3]
11351521#768768#3,You won't be dissapointed.,0,[],[],
33064238#563983#0,This place has the best pizza.,1,['pizza'],['positive'],[3]
35816071#637243#0,Culinaria is a welcome addition to the Garment district- far better than any restaurant in the area.,0,[],[],
32896473#439063#3,The music which is sometimes a little too heavy for my taste.,1,['music'],['negative'],[-2]
11350010#590580#1,The service is excellent and always informative without an air.,1,['service'],['positive'],[3]
11359762#927332#1,The owner and staff go to great lengths to make you feel comfortable.,2,"['owner', 'staff']","['positive', 'positive']","[3, 3]"
11359764#1373169#0,I can't stand this dungeon.,0,[],[],
32950061#1264345#1,The sushi is always fresh and yummy and the menu is pretty varied.,2,"['sushi', 'menu']","['positive', 'positive']","[3, 1]"
11359767#969393#2,"The food was great - sushi was good, but the cooked food amazed us.",3,"['food', 'sushi', 'cooked food']","['positive', 'positive', 'positive']","[2, 1, 2]"
33106326#864352#0,their dinner specials are fantastic.,1,['dinner specials'],['positive'],[3]
32894522#1633452#4,Delish and made to your liking!,0,[],[],
32405935#675215#0,"Great food, great drinks, nice dining atmosphere.",3,"['food', 'drinks', 'dining atmosphere']","['positive', 'positive', 'positive']","[2, 2, 1]"
32894669#1075584#0,"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",2,"['price', 'food']","['negative', 'negative']","[-2, -1]"
32894669#1075584#1,Food portion was SMALL and below average.,1,['Food portion'],['negative'],[-2]
32894669#1075584#8,Do yourself a favor and avoid this place at ALL COST!,0,[],[],
33070605#1232775#0,since the first time I came here I've been hooked.,0,[],[],
33085669#409731#11,Sit back in one of those comfortable chairs.,1,['chairs'],['positive'],[1]
11351360#1704700#2,"People in the neighborhood seem to love it, too.",0,[],[],
32894416#1193614#6,"in conclusion, THIS PLACE SUCKS!!!",0,[],[],
33070461#1496736#6,My favs here are the Tacos Pastor and the Tostada de Tinga...,2,"['Tacos Pastor', 'Tostada de Tinga']","['positive', 'positive']","[2, 2]"
11351814#1650882#6,"Nick Stef's is one of the only places worthy of going in the area, so if you happen to be by Madison Square Garden or Herald's Square check it out!",0,[],[],
32936760#1397861#1,Have to tell you: Not at all impressed.,0,[],[],
11447227#436718#2,"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",3,"['bartenders', 'managers', 'decor']","['positive', 'positive', 'positive']","[1, 1, 2]"
32889544#0#4,"For a savory take on the soup and sandwich meal, try the hot and sour soup.",2,"['hot and sour soup', 'soup and sandwich meal']","['positive', 'positive']","[1,1]"
35693136#561234#0,"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",4,"['drinks', 'atmosphere', 'service', 'food']","['positive', 'positive', 'positive', 'positive']","[2, 1, 3, 2]"
11484031#1129679#4,"Also, the chick peas with shrimp (appetizer) is divine.",1,['chick peas with shrimp (appetizer)'],['positive'],[2]
11351628#404492#9,"Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.",1,['service'],['negative'],[-3]
35701425#1155856#0,How have I never been to Agave before?,0,[],[],
11349536#778388#1,"You're going to drop some coin, but completely worth it, especially if you are looking to impress someone.",0,[],[],
32893510#483382#1,We ordered lamb which was perfectly cooked and tasted awesome.,1,['lamb'],['positive'],[3]
11359619#487952#6,i especially like their soft shell crab sandwich with fries.,1,['soft shell crab sandwich with fries'],['positive'],[2]
33070605#1232775#2,"if you're looking for authentic hong kong-style food, look no further.",1,['hong kong-style food'],['positive'],[2]
35390182#756337#0,My wife I lived on the west side and found this while visiting firends on the UES.,0,[],[],
11351664#1238806#6,good food good wine that's it.,2,"['food', 'wine']","['positive', 'positive']","[1, 1]"
33070305#1312437#7,A nice find in the neighborhood.,0,[],[],
33070305#1312437#4,The staff was extremely friendly and pleasant.,1,['staff'],['positive'],[3]
32894669#1075584#3,"And as SOON as one person is done, she asked to pick up the plate immediately.",0,[],[],
11349840#433070#0,"This place is Italian, not French.",0,[],[],
11351587#1488758#0,"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.",0,[],[],
11478791#397331#1,"While their kitchen food is delicious, their Sushi is out of this world.",2,"['kitchen food', 'Sushi']","['positive', 'positive']","[2, 3]"
35177381#521555#2,"There was a heat problem to boot, so it was about 40 degrees in the restaurant -- we had to request to uncheck our coats!",0,[],[],
35171678#484493#2,"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",3,"['service', 'waitresses', 'atmosphere']","['positive', 'positive', 'positive']","[2, 2, 2]"
11351664#1238806#1,"It's traditional, simple italian food.",1,['italian food'],['positive'],[2]
11432316#715219#0,My girlfriend and I just spent our 10 month anniversary at Lou Lou.,0,[],[],
35693081#540596#1,"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",3,"['food', 'rolls', 'sushi/sashimi']","['positive', 'positive', 'neutral']","[1, 3, 0]"
35693081#540596#2,(The sashimi is cut a little thinly.,1,['sashimi'],['negative'],[-1]
32944714#1559783#2,"Bay Terrace mall is nothing (ok, almost nothing) without it!",0,[],[],
35708055#673129#2,Could have had better for 1/3 the price in Chinatown.,1,['price'],['negative'],[-2]
11567247#1415594#0,My husband and I had a blast.,0,[],[],
11651062#1264882#6,personally i say save your money.,0,[],[],
11651063#1217842#0,"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",6,"['hot dogs', 'breakfast sandwiches', 'tator tots', 'English muffins', 'Taylor ham', 'pork product']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']","[2, 3, 2, 2, 1, 1]"
11651063#1217842#8,"Believe me, they live up to the name.",0,[],[],
"बल्कि, यह हुआ है क्योंकि एक graceless manager और एक rude bartender जो drinks के लिए 20 minutes waiting कराया, और फिर हमें chill out करने को कहा।","Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",4,"['manager', 'bartender', 'drinks', 'waiting']","['negative', 'negative', 'neutral', 'negative']","[-2, -2, 0, -1]"
32892130#435512#1,"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",2,"['service', 'atmosphere']","['positive', 'positive']","[2, 2]"
11359797#469087#5,"When the dish arrived it was blazing with green chillis, definitely not edible by a human.",2,"['green chillis', 'dish']","['negative', 'negative']","[-2, -3]"
11351819#985076#1,The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,3,"['service', 'food', 'meals']","['negative', 'negative', 'neutral']","[-3, -1, 0]"
33061445#591371#1,It's about $7 for lunch and they have take-out or dine-in.,3,"['lunch', 'take-out', 'dine-in']","['neutral', 'neutral', 'neutral']","[0, 0, 0]"
11359762#927332#2,They are by far the BEST past in New York.,0,[],[],
35698240#574381#0,I have eaten here several times before attending an afternoon performance.,0,[],[],
32934709#796678#1,Everything is very cheap.,0,[],[],
32934709#796678#2,Be sure to accompany your food with one of their fresh juice concoctions.,2,"['food', 'fresh juice concoctions']","['neutral', 'positive']","[0, 1]"
32894963#1707639#1,The food is great and the prices are reasonable.,2,"['food', 'prices']","['positive', 'positive']","[2, 1]"
32894963#1707639#3,"The place is clean, and if you like soul food, then this is the place to be!",2,"['place', 'soul food']","['positive', 'positive']","[1, 2]"
32894963#1707639#4,You'll see a lot of people eating there after church.,0,[],[],
33059678#631861#3,I had roast chicken and a salad.,2,"['roast chicken', 'salad']","['neutral', 'neutral']","[0, 0]"
32894966#1727613#0,I've been a regular customer at Juice Generation for the last 3 months - my office moved to the Film Center on Ninth Avenue and they are on the next block.,0,[],[],
