id,sentence,num_aspect_terms,aspect_term,at_polarity,intensty_class
35698351#821341#0,this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,3,"['food', 'kimono shrimp special', 'atmosphere']","['positive', 'positive', 'positive']","[2, 3, 2]"
11351664#1238806#0,"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!",0,[],[],
33070305#1312437#6,The whole experience was satisfying.,0,[],[],
33070305#1312437#1,"However, it was worth the visit.",0,[],[],
33070305#1312437#2,The menu is interesting and quite reasonably priced.,2,"['menu', 'priced']","['positive', 'positive']","[1, 1]"
33070305#1312437#3,The food was delicious and clearly fresh ingredients were used.,2,"['food', 'ingredients']","['positive', 'positive']","[2, 2]"
11610073#973003#3,This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.,1,['food'],['negative'],[-2]
11464789#378665#0,Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,2,"['Appetizer', 'meal']","['positive', 'positive']","[3, 2]"
11464789#378665#1,The spicy mussels are a highlight.,1,['spicy mussels'],['positive'],[1]
32899282#556036#2,Also get the Onion Rings -- best we've ever had.,1,['Onion Rings'],['positive'],[3]
11351587#1488758#8,Would not return for the amount we paid.,0,[],[],
11351587#1488758#2,"However, being foodies, we were utterly disappointed with the food.",1,['food'],['negative'],[-3]
11359656#1716239#1,"Huge portions, great and attentive service, and pretty good prices.",3,"['portions', 'service', 'prices']","['positive', 'positive', 'positive']","[1, 2, 1]"
11359797#469087#7,I was highly disappointed by their service and food.,2,"['service', 'food']","['negative', 'negative']","[-3, -3]"
11359797#469087#6,"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",2,"['waiter', 'manager']","['negative', 'negative']","[-3, -3]"
32938828#1194079#1,The food is great and the milkshakes are even better!,2,"['food', 'milkshakes']","['positive', 'positive']","[2, 2]"
11349445#757796#5,Stay away if you're claustrophobic,0,[],[],
11349445#757796#0,"If you're in the 'hood, definitely stop in.",0,[],[],
11349445#757796#1,the mushroom barley soup is amazing.,1,['mushroom barley soup'],['positive'],[1]
11602699#875811#0,"On the recommendation of a friend, I checked out Arezzo with my wife.",0,[],[],
11602699#875811#1,"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",2,"['food', 'staff']","['positive', 'positive']","[2, 3]"
11313316#1234433#2,Their duck here is also absolutely delicious.,1,['duck'],['positive'],[2]
11313316#1234433#0,This is definitely one of the places that I have continued to come back to over the years.,0,[],[],
11351762#644011#1,"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",2,"['drinks', 'food']","['positive', 'positive']","[3, 3]"
35719198#0#5,One caveat: Some of the curried casseroles can be a trifle harsh.,1,['curried casseroles'],['negative'],[-1]
35158451#1089920#3,I wasn't impressed and it wasn't SPICEY????,0,[],[],
33070461#1496736#1,The food was almost always EXCELLENT.,1,['food'],['positive'],[3]
32882616#562969#4,I was pleasently surprised at the taste.,1,['taste'],['positive'],[2]
32882616#562969#3,I never had an orange donut before so I gave it a shot.,1,['orange donut'],['neutral'],[0]
35171678#484493#3,"they really provide a relaxing, laid-back atmosphere.",1,['atmosphere'],['positive'],[2]
32945645#1528063#2,This particular location certainly uses substandard meats.,1,['meats'],['negative'],[-2]
32895093#418997#0,I stumbled upon this resteraunt on my way home from the subway.,0,[],[],
11546184#1465600#4,The Management was less than accommodating.,1,['Management'],['negative'],[-1]
13383936#420974#2,The ambience is also more laid-back and relaxed.,1,['ambience'],['positive'],[2]
35692932#1064131#3,the teas are great and all the sweets are homemade.,2,"['teas', 'sweets']","['positive', 'positive']","[2, 1]"
11488685#420977#1,mojitos and the service are the best part in there,2,"['mojitos', 'service']","['positive', 'positive']","[3, 3]"
35397104#0#3,"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",4,"['Sandwiches', 'burgers', 'salads', 'lemon-dressed cobb']","['positive', 'positive', 'positive', 'positive']","[1, 1, 1, 1]"
35820984#608922#0,this restaurant is absolutely beautiful.,0,[],[],
35820984#608922#1,The design is very intimate and romantic.,1,['design'],['positive'],[2]
35820984#608922#2,The food was wonderful and imaginative.,1,['food'],['positive'],[3]
35820984#608922#3,The staff is very sharp and they look good too.,1,['staff'],['positive'],[3]
36245348#821441#2,The worst though was the taste.,1,['taste'],['negative'],[-3]
36245348#821441#3,"They were dry, stale and pretty flavorless.",0,[],[],
11432442#650772#5,The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,2,"['fajita', 'mole sauce']","['negative', 'negative']","[-2, -1]"
11432442#650772#6,Stay with the roasted chickens and you'll be fine.,1,['roasted chickens'],['positive'],[2]
32944693#1193404#4,"The atmosphere is warm, comfortable, artsy and sexy.",1,['atmosphere'],['positive'],[3]
33068517#482841#1,The crab cakes are delicious and the BBQ rib was perfect.,2,"['crab cakes', 'BBQ rib']","['positive', 'positive']","[2, 1]"
35869867#649564#1,"The food is wonderful, artfully done and simply delicious.",1,['food'],['positive'],[3]
32864873#471207#1,Tiny restaurant with very fast service.,1,['service'],['positive'],[2]
33069536#707145#3,My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.,2,"['service', 'desserts']","['positive', 'positive']","[3, 1]"
32899414#512291#0,"A beautiful atmosphere, perfect for drinks and/or appetizers.",3,"['atmosphere', 'drinks', 'appetizers']","['positive', 'neutral', 'neutral']","[1, 0, 0]"
32469157#1273114#0,Curioni's Pizza has been around since the 1920's.,0,[],[],
32469157#1273114#1,They make the best pizza in New Jersey.,1,['pizza'],['positive'],[3]
36072604#1106889#1,I recently visited over this past summer after being away for a year.,0,[],[],
36072604#1106889#2,"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",3,"['service', 'food', 'beer list']","['positive', 'positive', 'positive']","[2, 1, 3]"
12036269#580745#1,"Frankly, the chinese food here is something I can make better at home.",1,['chinese food'],['negative'],[-2]
12036269#580745#2,There was only one waiter for the whole restaurant upstairs.,1,['waiter'],['neutral'],[0]
35695422#1464305#3,We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,4,"['scallops', 'asparagus', 'soft shell crab', 'cheese plate']","['neutral', 'neutral', 'neutral', 'neutral']","[0, 0, 0, 0]"
36220672#1714981#3,"Not to be overlooked, the service is excellent.",1,['service'],['positive'],[2]
11651062#1264882#2,this without question is one of the worst hotdogs i have ever had.,1,['hotdogs'],['negative'],[-3]
32971013#1044651#2,"The staff is unbelievably friendly, and I dream about their Saag gosht...so good.",2,"['staff', 'Saag gosht']","['positive', 'positive']","[2, 2]"
33064238#563983#2,I also recommend the garlic knots.,1,['garlic knots'],['positive'],[1]
32971013#1044651#0,Best Indian food I have ever eaten.,1,['Indian food'],['positive'],[3]
11351521#768768#3,You won't be dissapointed.,0,[],[],
33064238#563983#0,This place has the best pizza.,1,['pizza'],['positive'],[3]
35816071#637243#0,Culinaria is a welcome addition to the Garment district- far better than any restaurant in the area.,0,[],[],
32896473#439063#3,The music which is sometimes a little too heavy for my taste.,1,['music'],['negative'],[-2]
11350010#590580#1,The service is excellent and always informative without an air.,1,['service'],['positive'],[3]
11359762#927332#1,The owner and staff go to great lengths to make you feel comfortable.,2,"['owner', 'staff']","['positive', 'positive']","[3, 3]"
11359764#1373169#0,I can't stand this dungeon.,0,[],[],
32950061#1264345#1,The sushi is always fresh and yummy and the menu is pretty varied.,2,"['sushi', 'menu']","['positive', 'positive']","[3, 1]"
11359767#969393#2,"The food was great - sushi was good, but the cooked food amazed us.",3,"['food', 'sushi', 'cooked food']","['positive', 'positive', 'positive']","[2, 1, 2]"
33106326#864352#0,their dinner specials are fantastic.,1,['dinner specials'],['positive'],[3]
32894522#1633452#4,Delish and made to your liking!,0,[],[],
32405935#675215#0,"Great food, great drinks, nice dining atmosphere.",3,"['food', 'drinks', 'dining atmosphere']","['positive', 'positive', 'positive']","[2, 2, 1]"
32894669#1075584#0,"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",2,"['price', 'food']","['negative', 'negative']","[-2, -1]"
32894669#1075584#1,Food portion was SMALL and below average.,1,['Food portion'],['negative'],[-2]
32894669#1075584#8,Do yourself a favor and avoid this place at ALL COST!,0,[],[],
33070605#1232775#0,since the first time I came here I've been hooked.,0,[],[],
33085669#409731#11,Sit back in one of those comfortable chairs.,1,['chairs'],['positive'],[1]
11351360#1704700#2,"People in the neighborhood seem to love it, too.",0,[],[],
32894416#1193614#6,"in conclusion, THIS PLACE SUCKS!!!",0,[],[],
33070461#1496736#6,My favs here are the Tacos Pastor and the Tostada de Tinga...,2,"['Tacos Pastor', 'Tostada de Tinga']","['positive', 'positive']","[2, 2]"
11351814#1650882#6,"Nick Stef's is one of the only places worthy of going in the area, so if you happen to be by Madison Square Garden or Herald's Square check it out!",0,[],[],
32936760#1397861#1,Have to tell you: Not at all impressed.,0,[],[],
11447227#436718#2,"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",3,"['bartenders', 'managers', 'decor']","['positive', 'positive', 'positive']","[1, 1, 2]"
32889544#0#4,"For a savory take on the soup and sandwich meal, try the hot and sour soup.",2,"['hot and sour soup', 'soup and sandwich meal']","['positive', 'positive']","[1,1]"
35693136#561234#0,"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",4,"['drinks', 'atmosphere', 'service', 'food']","['positive', 'positive', 'positive', 'positive']","[2, 1, 3, 2]"
11484031#1129679#4,"Also, the chick peas with shrimp (appetizer) is divine.",1,['chick peas with shrimp (appetizer)'],['positive'],[2]
11351628#404492#9,"Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.",1,['service'],['negative'],[-3]
35701425#1155856#0,How have I never been to Agave before?,0,[],[],
11349536#778388#1,"You're going to drop some coin, but completely worth it, especially if you are looking to impress someone.",0,[],[],
32893510#483382#1,We ordered lamb which was perfectly cooked and tasted awesome.,1,['lamb'],['positive'],[3]
11359619#487952#6,i especially like their soft shell crab sandwich with fries.,1,['soft shell crab sandwich with fries'],['positive'],[2]
33070605#1232775#2,"if you're looking for authentic hong kong-style food, look no further.",1,['hong kong-style food'],['positive'],[2]
35390182#756337#0,My wife I lived on the west side and found this while visiting firends on the UES.,0,[],[],
11351664#1238806#6,good food good wine that's it.,2,"['food', 'wine']","['positive', 'positive']","[1, 1]"
33070305#1312437#7,A nice find in the neighborhood.,0,[],[],
33070305#1312437#4,The staff was extremely friendly and pleasant.,1,['staff'],['positive'],[3]
32894669#1075584#3,"And as SOON as one person is done, she asked to pick up the plate immediately.",0,[],[],
11349840#433070#0,"This place is Italian, not French.",0,[],[],
11351587#1488758#0,"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.",0,[],[],
11478791#397331#1,"While their kitchen food is delicious, their Sushi is out of this world.",2,"['kitchen food', 'Sushi']","['positive', 'positive']","[2, 3]"
35177381#521555#2,"There was a heat problem to boot, so it was about 40 degrees in the restaurant -- we had to request to uncheck our coats!",0,[],[],
35171678#484493#2,"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",3,"['service', 'waitresses', 'atmosphere']","['positive', 'positive', 'positive']","[2, 2, 2]"
11351664#1238806#1,"It's traditional, simple italian food.",1,['italian food'],['positive'],[2]
11432316#715219#0,My girlfriend and I just spent our 10 month anniversary at Lou Lou.,0,[],[],
35693081#540596#1,"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",3,"['food', 'rolls', 'sushi/sashimi']","['positive', 'positive', 'neutral']","[1, 3, 0]"
35693081#540596#2,(The sashimi is cut a little thinly.,1,['sashimi'],['negative'],[-1]
32944714#1559783#2,"Bay Terrace mall is nothing (ok, almost nothing) without it!",0,[],[],
35708055#673129#2,Could have had better for 1/3 the price in Chinatown.,1,['price'],['negative'],[-2]
11567247#1415594#0,My husband and I had a blast.,0,[],[],
11651062#1264882#6,personally i say save your money.,0,[],[],
11651063#1217842#0,"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",6,"['hot dogs', 'breakfast sandwiches', 'tator tots', 'English muffins', 'Taylor ham', 'pork product']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']","[2, 3, 2, 2, 1, 1]"
11651063#1217842#8,"Believe me, they live up to the name.",0,[],[],
"बल्कि, यह हुआ है क्योंकि एक graceless manager और एक rude bartender जो drinks के लिए 20 minutes waiting कराया, और फिर हमें chill out करने को कहा।","Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",4,"['manager', 'bartender', 'drinks', 'waiting']","['negative', 'negative', 'neutral', 'negative']","[-2, -2, 0, -1]"
32892130#435512#1,"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",2,"['service', 'atmosphere']","['positive', 'positive']","[2, 2]"
11359797#469087#5,"When the dish arrived it was blazing with green chillis, definitely not edible by a human.",2,"['green chillis', 'dish']","['negative', 'negative']","[-2, -3]"
11351819#985076#1,The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,3,"['service', 'food', 'meals']","['negative', 'negative', 'neutral']","[-3, -1, 0]"
33061445#591371#1,It's about $7 for lunch and they have take-out or dine-in.,3,"['lunch', 'take-out', 'dine-in']","['neutral', 'neutral', 'neutral']","[0, 0, 0]"
33009300#626261#2,My first experience at Siam Square was very pleasant.,0,[],[],
33009300#626261#4,I have gone back to Siam Square many times since and everytime I am very satisfied overall.,0,[],[],
33009300#626261#5,"The menu is great, with a good selection, and everything that I have tried is absolutely delicious.",2,"['menu', 'selection']","['positive', 'positive']","[2, 1]"
35393630#1095759#0,We had our Christmas party at Dos Caminos and it was wonderful.,0,[],[],
11350539#680470#1,My personal favorite is Nick and Joe's.,0,[],[],
11350539#680470#3,The sauce is zesty and flavorful and the crust is nice and crispy.,2,"['sauce', 'crust']","['positive', 'positive']","[2, 2]"
33059931#926509#0,This place has the best sushi in the city.,1,['sushi'],['positive'],[3]
33059931#926509#1,They have an excellent selection (the rolls with crab are really great).,2,"['selection', 'rolls with crab']","['positive', 'positive']","[3, 2]"
11349871#518230#2,"Everyone who works there (the host, the bartender, the servers) is so helpful.",3,"['host', 'bartender', 'servers']","['positive', 'positive', 'positive']","[2, 2, 2]"
11349871#518230#3,And the food is fantastic.,1,['food'],['positive'],[3]
11349871#518230#4,Favourites include: potato spinach gnocchi and the lamb.,2,"['potato spinach gnocchi', 'lamb']","['positive', 'positive']","[2, 2, 2]"
32935583#854234#2,Another great thing about Glechik-everything is very cheap!,0,[],[],
33071731#1007204#0,"Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport.",1,['lunch'],['neutral'],[0]
32889544#0#3,But regulars know that the sandwiches are the real star here.,1,['sandwiches'],['positive'],[3]
11351753#0#4,The skillfully chosen Portuguese cheese cart paired with quality port provides the perfect Iberian ending.,2,"['port', 'Portuguese cheese cart']","['positive', 'positive']","[1, 1]"
35084984#412657#1,My friend had a burger and I had these wonderful blueberry pancakes.,2,"['burger', 'blueberry pancakes']","['neutral', 'positive']","[0, 3]"
35084984#412657#2,We were so happy with our food and were even more thrilled when we saw the bill.,2,"['food', 'bill']","['positive', 'positive']","[2, 3]"
35084984#412657#3,I would definitely come back to this restaurant.,0,[],[],
15087705#871249#5,The place just isn't ready for prime time.,0,[],[],
33064221#427885#3,"All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",2,"['toppings', 'crust']","['positive', 'positive']","[3, 1]"
11548230#560890#0,Quartino is my favoriate resturant in NYC.,0,[],[],
11548230#560890#2,We've always gotten amazing service and we love the food.,2,"['service', 'food']","['positive', 'positive']","[2, 2]"
35700989#574718#1,"The waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.",2,"['waitstaff', 'food']","['positive', 'positive']","[3, 3]"
35700989#574718#2,I'm in love with the lobster ravioli!,1,['lobster ravioli'],['positive'],[2]
33070600#670328#1,My order is on my table even on a busy friday night within 10 minutes (at the most) of hanging up the phone.,0,[],[],
11639814#570590#0,We came across this restaurant by accident while at a DUMBO art festival and thoroughly enjoyed our meal.,1,['meal'],['positive'],[1]
11359618#788741#2,"Service is excellent, no wait, and you get a lot for the price.",3,"['Service', 'price', 'wait']","['positive', 'positive', 'positive']","[3, 2, 1]"
12036269#580745#3,I thought the food isn't cheap at all compared to Chinatown.,1,['food'],['negative'],[-2]
32896473#439063#1,And you never get the feeling that you need to leave.,0,[],[],
33070601#438491#0,Coffee is a better deal than overpriced Cosi sandwiches.,2,"['coffee', 'Cosi sandwiches']","['positive', 'negative']","[1, -1]"
11661949#1709112#3,We didn't know if we should order a drink or leave?,1,['drink'],['neutral'],[0]
32894791#1611374#2,great neighbhorhood spot.,0,[],[],
34109476#402765#0,Bobb V's is a great place to take your Friends and Family!,0,[],[],
35693081#540596#3,"It's not the best Japanese restaurant in the East Village, but it's a pretty solid one for its modest prices, and worth repeat visits.",1,['prices'],['positive'],[1]
32944714#1559783#1,The food is so good and so popular that waiting can really be a nightmare.,2,"['food', 'waiting']","['positive', 'negative']","[1, -1]"
14336883#1094817#5,"Here's the thing, you're in the best city in the world for restaurants.",0,[],[],
14336883#1094817#6,Go spend your money somewhere that really wows you.,0,[],[],
33059678#631861#2,"The crowd was older and the restaurant is very cramped, but it has old school charm.",0,[],[],
32894966#1727613#1,This is a real gem of a place.,0,[],[],
32894966#1727613#9,I think this a a wonderful place.,0,[],[],
11558693#1436895#1,First walking in the place seemed to have great ambience.,2,"['place', 'ambience']","['positive', 'positive']","[1, 2]"
35700731#1595671#0,I went to Kitchenette this weekend for brunch.,1,['brunch'],['neutral'],[0]
32894963#1707639#0,"This place doesn't get the publicity that Sylvias Soul Food restaurant does, but it should.",0,[],[],
14336883#1094817#7,Just because P Diddy had a party at Butter doesn't mean we should be automatically impressed.,0,[],[],
35819603#1613701#3,Even for two very hungry people there is plenty of food left to be taken home (it reheats really well also).,1,['food'],['positive'],[1]
11350539#680470#8,"Like I said, Nick and Joe's may not be everyone's favorite, but it's mine.",0,[],[],
35393632#1591698#6,The help was extremely nice and did not rush us.,0,[],[],
35714274#1076679#4,"Then they somehow made a dry and burnt crust, around a raw and cold inside.",1,['crust'],['negative'],[-2]
11351664#1238806#4,"It's just good food, nothing more and that's all we want!",1,['food'],['positive'],[1]
33070286#1133164#7,DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.,0,[],[],
32936760#1397861#9,Average cake thats been courted by a LOT of hype.,1,['cake'],['negative'],[-3]
11349654#424016#1,It's cute and simple and I loved it.,0,[],[],
33068517#482841#0,My wife and I recently visited the bistro for dinner and had a wonderful experience.,1,['dinner'],['neutral'],[0]
11351400#495795#1,THE SERVICE IS PERFECT TOO  NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT,1,['SERVICE'],['positive'],[1]
11313431#524365#0,My fiance and I recently wanted to see the city and deceided to take a dinner cruise.,0,[],[],
11546184#1465600#1,The $72 Delmonico steak had to be sent back because it was not cooked to order.,1,['Delmonico steak'],['negative'],[-1]
11482070#503858#1,Everytime I go there I can't pick anything to eat and not because the menu is filled with great things to eat.,1,['menu'],['negative'],[-2]
11349922#547169#3,Half a chicken with a mountain of rice and beans for $6.25.,3,"['rice', 'beans', 'chicken']","['neutral', 'neutral', 'neutral']","[0, 0, 0]"
32894483#1088884#0,"The service is really fast and friendly, and the value is great.",2,"['service', 'value']","['positive', 'positive']","[2, 2]"
32944674#542988#0,We were very impressed with the food and value.,2,"['food', 'value']","['positive', 'positive']","[2, 2]"
32944674#542988#2,You must try the garlic soup!,1,['garlic soup'],['positive'],[2]
32896492#738746#0,"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",4,"['falafel', 'tabouleh', 'humus', 'Mediterranean delights']","['positive', 'positive', 'positive', 'positive']","[2, 1, 1, 1]"
11313290#1139539#0,"Even after a few bad evenings at Bardolino, I keep coming back.",0,[],[],
33069847#1306433#1,"The pizza's are made fresh, crispy, and ready to serve.",1,['pizza's'],['positive'],[3]
32893609#708406#3,"There are many french bistros in the midtown area, and I wholheartedly recommend this one.",0,[],[],
35709451#1061726#1,Staff is accomodating make sure you are satified.,1,['Staff'],['positive'],[3]
11359727#487554#4,Chef Waldy's always measures up.,1,['Chef'],['positive'],[1]
35709337#1579632#5,This diamond in the ruff is definitely worth my 10-minute walk from the 6 train.,0,[],[],
11350660#564640#0,"Being a vegan myself, I've made a point of trying all the vegan restaurants in Manhattan--and Zen Palate is easily my favorite.",0,[],[],
35819603#1613701#0,Don Pedro's is one of my favorite restaurants.,0,[],[],
33059931#926509#2,Reasonably priced with very fresh sushi.,2,"['sushi', 'priced']","['positive', 'positive']","[2, 1]"
35819603#1613701#2,Go for the Seafood Paella for two.,1,['Seafood Paella for two'],['positive'],[2]
35819603#1613701#4,All of the apetizers are good and the Sangria is very good.,2,"['apetizers', 'Sangria']","['positive', 'positive']","[1, 2]"
13383936#420974#0,Cantinetta is a real treasure in a see of mediocre Italian restaurants.,0,[],[],
11558693#1436895#7,"The one positive thing I can say is that the service was prompt, we got seated right away and the server was very friendly.",2,"['service', 'server']","['positive', 'positive']","[1, 2]"
33009300#626261#3,The staff greeted me warmly at the door and I was seated promptly and the food was excellent.,2,"['staff', 'food']","['positive', 'positive']","[2, 3]"
11350539#680470#0,Whether one pizza place is better than another is often very subjective.,0,[],[],
35819603#1613701#5,Really nice restaurant to go with a group or on a date.,0,[],[],
35819603#1613701#6,Service is usually pretty good.,1,['Service'],['positive'],[1]
35708055#673129#4,Host and Hostess was quite rude.,2,"['Host', 'Hostess']","['negative', 'negative']","[-1, -1]"
35708055#673129#7,You will not be missing anything.,0,[],[],
32878835#503761#0,I discovered Applebees when I went away to college in VA.,0,[],[],
11351453#683961#0,"the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -.",2,"['wait staff', 'meal']","['positive', 'positive']","[2, 2]"
11351453#683961#1,I recommend any of their salmon dishes......,1,['salmon dishes'],['positive'],[2]
11351451#805713#1,The foie gras was sweet and luscious.,1,['foie gras'],['positive'],[2]
11351324#0#2,"The menu, which changes seasonally, shows both regional and international influences.",1,['menu'],['neutral'],[0]
11624981#549489#5,but their mac cheese was YUMMY!,1,['mac cheese'],['positive'],[1]
11624981#549489#6,their brunch menu had something for everyone.,1,['brunch menu'],['positive'],[2]
11624981#549489#7,jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.,1,['jazz singer'],['positive'],[3]
15069510#648179#0,"I often find myself with time to kill in Times Square, which is a shame since I don't love this area.",0,[],[],
15069510#648179#2,They have very quick service which is great when you don't have much time.,1,['service'],['positive'],[2]
15069510#648179#3,"The food is average: breakfast food, soups, salads, sandwiches, etc.",5,"['food', 'breakfast food', 'soups', 'salads', 'sandwiches']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","[0, 0, 0, 0, 0]"
11519527#1541586#1,I WAS HIGHLY DISAPPOINTED BY THE FOOD.,1,['FOOD'],['negative'],[-3]
35759841#1360876#1,"The staff is arrogant, the prices are way high for Brooklyn.",2,"['staff', 'prices']","['negative', 'negative']","[-1, -2]"
35759841#1360876#0,This place is average... at best.,0,[],[],
11639667#1085238#2,the service is prompt friendly.,1,['service'],['positive'],[2]
11639667#1085238#6,Whatever the reason it is definitely the place to be.,0,[],[],
32464595#574909#0,This is literally a hot spot when it comes to the food.,1,['food'],['positive'],[2]
32892297#645108#0,The downstairs bar scene is very cool and chill...,1,['downstairs bar scene'],['positive'],[2]
32892297#645108#1,"The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person)...",3,"['food', 'price', 'drinks']","['positive', 'negative', 'neutral']","[2, -1, 0]"
32950061#1264345#0,I've come here for casual lunches as well as for a friend's birthday and I always enjoy myself.,1,['casual lunches'],['neutral'],[0]
35393630#1095759#2,If you are a Tequila fan you will not be disappointed.,1,['Tequila'],['positive'],[1]
11660930#655010#5,"Great beer selection too, something like 50 beers.",2,"['beer selection', 'beers']","['positive', 'neutral']","[1, 0]"
35177381#521555#1,"Our waitress had apparently never tried any of the food, and there was no one to recommend any wine.",3,"['waitress', 'food', 'wine']","['negative', 'neutral', 'neutral']","[-1, 0, 0]"
15094232#1295193#3,"The service was a bit slow and the portions are a bit small so if you are hungry and in a rush, this is not the place for you.",2,"['service', 'portions']","['negative', 'negative']","[-1, -1]"
11313431#524365#4,"No doubt the next time we want to go out for a special occasion or are entertaining guests from out of town, Spirit and Bateaux will be our destination.",0,[],[],
11538980#453602#2,i would recommend Jewel Bako if you want to feel like you were kicked in the groin and had to pay for it too.,0,[],[],
